Months,Count,Mean,Standard Deviation,Minimum,Maximum,Coefficient of Correlation
Feb2022,16.0,443.4133125,87.33052709541204,274.821,573.1039999999999,0.8996094517558868
April2022,15.0,479.3451999999999,143.73037556440775,271.502,897.8929999999999,0.9572623101945494
Dec2021,16.0,435.70925,88.82395167183229,262.048,547.6479999999999,0.9053513309902038
JAN2022,16.0,407.3851875,79.97977062167556,248.157,515.3120000000001,0.8975985691091257
June2022,16.0,910.04825,1704.7459189541612,278.142,7280.021000000001,0.9533393282559324
May2022,16.0,898.7389999999999,1683.3121351839652,271.502,7189.646,0.9572623101945494
Nov2021,16.0,429.168875,90.71191435298527,260.626,566.495,0.9035856545302732
Oct2021,16.0,428.7123125,90.90416619474874,254.31,574.244,0.905295798101811
Sept2021,16.0,410.610625,82.07537603924415,256.368,535.275,0.8686217329775099
