KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF DECEMBER-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
20,CPKM (in paise),4817.1,4144.4,3858.7,4088.8,3639,6129.7,3995.5,3982.5,3651.2,4059.4,3855.1,4237.2,4032,3975.6,4241.7,4060.1,,4152.3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BNG©,Bengaluru Central,,,,,,,,,,,,,,,,,
,RMN,Ramanagara,,,,,,,,,,,,,,,,,
,TMK,Tumkuru,,,,,,,,,,,,,,,,,
,KLR,Kolara,,,,,,,,,,,,,,,,,
,CBP,Chikkaballapura,,,,,,,,,,,,,,,,,
,MYS(U),Mysore City,,,,,,,,,,,,,,,,,
,MYS®,Mysore Rural,,,,,,,,,,,,,,,,,
,MDY,Mandya,,,,,,,,,,,,,,,,,
,CJR,Chamarajanagar,,,,,,,,,,,,,,,,,
,HSN,Hassan,,,,,,,,,,,,,,,,,
,CKM,Chikkamagaluru,,,,,,,,,,,,,,,,,
,MNG,Mangaluru,,,,,,,,,,,,,,,,,
,PTR,Puttur,,,,,,,,,,,,,,,,,
,DVG,Davanagere,,,,,,,,,,,,,,,,,
,SMG,Shivamoga,,,,,,,,,,,,,,,,,
,CDG,Chitradurga,,,,,,,,,,,,,,,,,
,KBS,Kempegowda Bus Station is a Division with just Bus stations and no buses of it’s own,,,,,,,,,,,,,,,,,
